timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T14:12:29.103900,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,62,,-8,T_DECK,42.3895,-71.2027,82.0
2025-10-24T14:12:29.104033,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3895,-71.2027,82.0
2025-10-24T14:12:29.104094,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2027,82.0
2025-10-24T14:12:29.104143,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2027,82.0
2025-10-24T14:12:29.104186,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2027,82.0
2025-10-24T14:12:29.104227,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2027,82.0
2025-10-24T14:12:42.492318,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,62,,-8,T_DECK,42.3895,-71.2027,82.0
2025-10-24T14:12:42.492428,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3895,-71.2027,82.0
2025-10-24T14:12:42.492478,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2027,82.0
2025-10-24T15:56:46.049665,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-16,HELTEC_V3,42.3893,-71.2026,110.0
2025-10-24T15:56:46.049792,!433e9d30,9d30,Meshtastic 9d30,42.3887,-71.0672,13,,-18,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.049847,!a2e990b0,90b0,Meshtastic 90b0,,,,,-14,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.049892,!a2eb5300,JETw,juliatuttle work,42.3627,-71.0881,40,,-12,STATION_G2,42.3893,-71.2026,110.0
2025-10-24T15:56:46.049935,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,42,,-12,T_DECK,42.3893,-71.2026,110.0
2025-10-24T15:56:46.049977,!433afea4,fea4,Meshtastic fea4,42.3937,-71.0826,4,,-17,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050017,!328ab3af,b3af,Meshtastic b3af,42.4338,-71.0657,,,-15,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050058,!d932f999,f999,Meshtastic f999,,,,,-16,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050097,!27ca3b9c,3b9c,Meshtastic 3b9c,,,,,-15,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050136,!2c262af4,2af4,Meshtastic 2af4,42.3887,-71.1197,12,,-21,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050177,!96b921fc,21fc,Meshtastic 21fc,42.3887,-71.1197,12,,-14,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050216,!43b58b34,8b34,Meshtastic 8b34,,,,,-18,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050255,!ab89416e,416e,Meshtastic 416e,,,,,-17,UNSET,42.3893,-71.2026,110.0
2025-10-24T15:56:46.050293,!799d872c,872c,Meshtastic 872c,,,,,-18,UNSET,42.3893,-71.2026,110.0
